employee_name,deep_work_hrs,meetings,coffee,tasks_done
Sarah Doe,5.9,4.0,1.0,4.0
Rohan Sharma,4.2,3.0,1.0,4.0
Emily Doe,7.8,1.0,2.0,13.0
Michael Williams,4.4,1.0,1.0,8.0
Jane Johnson,0.2,2.0,2.0,0.0
Emily Doe,4.8,2.0,3.0,7.0
Aarav Sharma,1.2,3.0,4.0,1.0
David Reddy,6.4,5.0,6.0,11.0
Sarah Singh,6.9,4.0,6.0,9.0
Michael Williams,3.9,1.0,3.0,5.0
Emily Sharma,6.3,4.0,4.0,11.0
David Reddy,1.2,4.0,6.0,1.0
Priya Doe,3.9,5.0,1.0,2.0
David Sharma,3.2,2.0,0.0,4.0
Rohan Williams,4.9,4.0,0.0,3.0
Aarav Williams,0.4,3.0,3.0,1.0
Michael Williams,6.0,2.0,5.0,9.0
Neha Reddy,0.6,5.0,2.0,0.0
Aarav Kumar,5.3,0.0,3.0,7.0
Michael Patel,0.1,1.0,3.0,2.0
John Williams,6.7,4.0,1.0,6.0
Michael Gupta,1.4,0.0,2.0,2.0
Jane Smith,4.1,4.0,0.0,4.0
Rohan Gupta,2.1,4.0,1.0,0.0
John Reddy,5.8,0.0,5.0,12.0
Neha Singh,2.6,2.0,5.0,7.0
Priya Reddy,5.8,4.0,5.0,9.0
Emily Sharma,2.3,3.0,4.0,2.0
Priya Smith,6.0,5.0,5.0,7.0
Sarah Patel,0.2,4.0,4.0,0.0
Jane Kumar,2.3,2.0,4.0,5.0
John Patel,4.0,0.0,4.0,7.0
Aarav Doe,0.4,5.0,3.0,0.0
David Williams,1.5,3.0,2.0,2.0
Neha Sharma,7.5,0.0,4.0,14.0
David Johnson,7.8,4.0,2.0,8.0
Priya Smith,5.9,4.0,3.0,5.0
Aarav Johnson,2.0,3.0,3.0,0.0
Priya Williams,2.1,2.0,2.0,2.0
David Singh,5.2,3.0,6.0,6.0
John Kumar,0.9,4.0,2.0,3.0
Neha Sharma,7.6,4.0,2.0,10.0
John Reddy,1.8,5.0,1.0,0.0
Neha Kumar,8.0,3.0,5.0,14.0
Michael Smith,4.0,4.0,4.0,6.0
Aarav Williams,6.2,5.0,4.0,9.0
David Singh,0.0,1.0,5.0,1.0
Aarav Gupta,7.1,0.0,2.0,13.0
John Gupta,2.2,4.0,1.0,2.0
Michael Smith,5.3,1.0,1.0,10.0
Rohan Sharma,6.5,0.0,4.0,9.0
Emily Reddy,1.3,1.0,4.0,3.0
Priya Johnson,3.5,2.0,1.0,3.0
Neha Johnson,4.0,1.0,1.0,8.0
Sarah Johnson,2.5,2.0,1.0,4.0
Sarah Williams,3.9,5.0,4.0,5.0
Rohan Smith,2.5,4.0,0.0,2.0
Rohan Williams,2.9,4.0,0.0,2.0
Michael Reddy,5.4,0.0,2.0,8.0
Sarah Singh,5.1,4.0,4.0,6.0
Michael Singh,1.9,4.0,4.0,2.0
David Kumar,7.2,3.0,3.0,8.0
Priya Doe,6.9,1.0,4.0,10.0
Rohan Doe,4.1,2.0,3.0,6.0
Jane Singh,3.5,4.0,6.0,4.0
John Doe,3.0,3.0,1.0,2.0
Sarah Singh,5.7,4.0,4.0,7.0
Aarav Gupta,5.4,3.0,3.0,6.0
John Doe,1.6,2.0,1.0,0.0
John Sharma,5.4,4.0,4.0,7.0
Priya Williams,2.0,0.0,2.0,5.0
Rohan Singh,0.1,3.0,2.0,0.0
Rohan Gupta,5.6,5.0,2.0,3.0
Aarav Patel,5.2,4.0,1.0,7.0
Emily Johnson,3.3,1.0,3.0,6.0
Neha Smith,4.2,1.0,3.0,8.0
Sarah Doe,7.6,3.0,4.0,13.0
Rohan Kumar,4.8,4.0,5.0,5.0
Sarah Doe,5.3,3.0,1.0,6.0
Rohan Doe,0.5,3.0,4.0,3.0
John Singh,1.3,1.0,5.0,7.0
Jane Smith,2.4,4.0,1.0,1.0
Michael Johnson,4.3,4.0,3.0,6.0
Priya Johnson,6.2,5.0,5.0,9.0
Sarah Johnson,2.6,2.0,4.0,7.0
Rohan Patel,2.9,4.0,1.0,2.0
Michael Smith,2.0,2.0,2.0,1.0
Aarav Kumar,2.0,3.0,3.0,2.0
Priya Doe,7.6,4.0,6.0,16.0
Jane Doe,5.1,1.0,1.0,5.0
Michael Johnson,1.2,2.0,6.0,4.0
Aarav Sharma,5.8,4.0,2.0,10.0
David Smith,5.8,3.0,1.0,6.0
David Gupta,5.3,0.0,2.0,5.0
Jane Williams,1.1,2.0,4.0,0.0
Michael Sharma,3.3,3.0,1.0,2.0
Emily Singh,0.9,5.0,2.0,0.0
Priya Gupta,6.5,1.0,5.0,13.0
Neha Johnson,5.2,4.0,6.0,8.0
Rohan Patel,4.1,1.0,2.0,3.0
Jane Gupta,2.7,1.0,1.0,1.0
Jane Reddy,1.5,1.0,5.0,5.0
Michael Kumar,0.9,4.0,4.0,0.0
Sarah Doe,7.8,1.0,1.0,13.0
David Williams,1.6,4.0,6.0,4.0
David Smith,0.5,2.0,0.0,0.0
Sarah Kumar,7.7,5.0,4.0,11.0
Priya Reddy,4.4,4.0,3.0,5.0
Michael Sharma,6.4,4.0,3.0,5.0
Emily Singh,0.4,4.0,1.0,0.0
Aarav Johnson,4.5,3.0,4.0,10.0
John Patel,3.2,4.0,6.0,3.0
Sarah Smith,6.2,1.0,3.0,10.0
Sarah Kumar,0.3,0.0,3.0,1.0
Neha Doe,3.2,3.0,1.0,3.0
Aarav Gupta,6.4,2.0,5.0,10.0
John Kumar,4.2,2.0,6.0,9.0
Emily Gupta,4.4,3.0,5.0,8.0
David Johnson,0.8,2.0,3.0,2.0
Jane Sharma,1.1,3.0,6.0,1.0
Neha Johnson,5.4,0.0,1.0,8.0
Priya Kumar,5.4,5.0,3.0,3.0
David Kumar,7.8,5.0,3.0,9.0
David Doe,5.7,5.0,3.0,4.0
Sarah Johnson,3.9,2.0,5.0,7.0
Priya Johnson,6.9,3.0,4.0,11.0
Michael Doe,0.8,5.0,1.0,0.0
Priya Reddy,3.6,5.0,2.0,1.0
Priya Sharma,2.3,4.0,2.0,0.0
Sarah Doe,0.8,2.0,3.0,4.0
Emily Sharma,6.1,3.0,2.0,6.0
Michael Smith,4.1,4.0,1.0,6.0
Neha Gupta,4.5,1.0,4.0,6.0
John Williams,3.3,3.0,5.0,4.0
John Gupta,3.7,4.0,6.0,6.0
Priya Doe,0.9,4.0,6.0,2.0
Priya Smith,5.4,2.0,5.0,11.0
Emily Gupta,3.5,3.0,1.0,0.0
John Gupta,6.5,5.0,5.0,9.0
Aarav Johnson,1.6,3.0,2.0,1.0
David Sharma,1.6,4.0,4.0,0.0
Sarah Patel,5.2,4.0,3.0,9.0
Emily Singh,6.8,4.0,5.0,10.0
Michael Williams,3.8,4.0,3.0,4.0
David Kumar,5.8,2.0,0.0,8.0
Rohan Williams,8.0,2.0,3.0,9.0
Sarah Sharma,7.9,2.0,1.0,9.0
Rohan Doe,6.0,0.0,6.0,11.0
Jane Doe,5.9,1.0,3.0,10.0
Rohan Doe,2.0,1.0,3.0,6.0
Aarav Johnson,6.7,4.0,5.0,8.0
Aarav Gupta,3.2,1.0,4.0,4.0
Neha Gupta,7.7,1.0,2.0,13.0
John Reddy,0.7,1.0,2.0,1.0
John Singh,3.5,3.0,3.0,1.0
Sarah Johnson,4.4,0.0,5.0,8.0
Neha Sharma,3.2,2.0,5.0,5.0
Emily Patel,1.7,1.0,6.0,5.0
Jane Patel,4.7,4.0,0.0,4.0
Neha Patel,6.0,5.0,2.0,4.0
Aarav Reddy,5.2,5.0,0.0,4.0
Aarav Williams,1.9,2.0,5.0,5.0
Emily Smith,5.9,3.0,1.0,2.0
Emily Williams,2.1,3.0,1.0,1.0
Priya Doe,1.4,2.0,3.0,0.0
Neha Patel,5.5,2.0,2.0,8.0
John Patel,6.7,0.0,4.0,10.0
Rohan Smith,3.9,4.0,3.0,4.0
Emily Kumar,4.3,1.0,3.0,9.0
Sarah Singh,2.4,2.0,3.0,2.0
Sarah Doe,4.0,2.0,5.0,5.0
Neha Patel,1.1,3.0,2.0,0.0
Aarav Kumar,7.6,4.0,2.0,10.0
David Singh,6.4,3.0,2.0,6.0
Rohan Patel,5.3,3.0,1.0,5.0
Neha Patel,4.3,3.0,5.0,6.0
Emily Kumar,6.3,0.0,1.0,9.0
Aarav Gupta,4.0,2.0,5.0,8.0
Michael Sharma,2.4,5.0,2.0,1.0
Jane Reddy,1.3,5.0,5.0,0.0
John Johnson,5.2,4.0,5.0,8.0
Michael Kumar,7.4,1.0,3.0,17.0
Aarav Williams,1.2,1.0,4.0,6.0
Emily Doe,1.4,2.0,2.0,1.0
John Smith,3.5,4.0,3.0,4.0
David Gupta,6.5,4.0,2.0,8.0
Neha Gupta,2.4,4.0,2.0,2.0
David Smith,2.0,3.0,5.0,2.0
Michael Gupta,5.0,1.0,1.0,7.0
Neha Patel,4.3,1.0,5.0,7.0
Rohan Kumar,0.5,0.0,2.0,3.0
Michael Gupta,0.7,3.0,3.0,1.0
Sarah Kumar,5.1,1.0,6.0,10.0
Jane Johnson,3.7,4.0,4.0,7.0
Rohan Smith,7.8,3.0,4.0,13.0
Jane Patel,5.4,2.0,4.0,11.0
David Reddy,0.1,1.0,6.0,4.0
David Reddy,3.8,1.0,1.0,8.0
Emily Sharma,3.3,4.0,4.0,2.0
Michael Doe,0.9,2.0,2.0,0.0
Priya Gupta,7.4,2.0,0.0,11.0
Aarav Gupta,6.4,4.0,1.0,5.0
Michael Doe,1.8,3.0,2.0,1.0
Neha Reddy,2.0,3.0,3.0,3.0
David Smith,0.3,4.0,5.0,0.0
Emily Johnson,2.4,4.0,5.0,3.0
Priya Reddy,4.7,3.0,3.0,4.0
John Gupta,3.4,2.0,0.0,3.0
David Smith,7.8,2.0,2.0,11.0
David Reddy,0.4,4.0,2.0,1.0
Emily Patel,4.7,3.0,4.0,6.0
Aarav Williams,6.9,4.0,0.0,7.0
Priya Doe,3.8,4.0,3.0,5.0
Aarav Doe,0.0,5.0,5.0,0.0
Aarav Smith,1.9,1.0,4.0,3.0
David Smith,2.6,1.0,5.0,5.0
Jane Williams,7.7,1.0,4.0,13.0
Emily Singh,7.3,4.0,1.0,10.0
Neha Reddy,7.6,2.0,1.0,13.0
Rohan Williams,6.6,1.0,5.0,12.0
Sarah Doe,2.8,0.0,4.0,4.0
Neha Williams,7.2,2.0,3.0,11.0
Rohan Smith,7.9,1.0,1.0,11.0
Priya Kumar,2.8,1.0,4.0,6.0
Emily Johnson,2.1,3.0,0.0,1.0
Emily Johnson,4.4,0.0,1.0,6.0
Rohan Johnson,1.5,1.0,2.0,1.0
Neha Gupta,0.3,4.0,3.0,0.0
Priya Doe,7.6,4.0,1.0,7.0
Jane Singh,7.4,2.0,1.0,13.0
Jane Patel,1.3,0.0,4.0,3.0
Emily Williams,3.3,4.0,3.0,4.0
Emily Williams,6.6,2.0,3.0,12.0
John Johnson,5.3,0.0,3.0,9.0
Sarah Doe,3.2,1.0,6.0,5.0
Emily Singh,6.0,1.0,0.0,10.0
David Kumar,7.2,3.0,1.0,9.0
Sarah Kumar,7.4,4.0,4.0,6.0
Rohan Patel,3.0,4.0,1.0,4.0
Priya Singh,1.4,3.0,4.0,3.0
Michael Singh,7.3,2.0,3.0,11.0
John Doe,0.7,3.0,6.0,4.0
Emily Doe,5.8,2.0,5.0,11.0
John Reddy,1.1,1.0,6.0,5.0
Michael Gupta,3.1,3.0,1.0,4.0
David Kumar,3.3,4.0,5.0,5.0
Sarah Kumar,1.3,2.0,1.0,0.0
John Reddy,7.4,4.0,4.0,7.0
Aarav Singh,0.0,2.0,4.0,2.0
Aarav Sharma,7.2,2.0,1.0,11.0
Sarah Gupta,7.1,0.0,4.0,11.0
Jane Sharma,2.5,3.0,0.0,0.0
Jane Patel,5.6,4.0,2.0,6.0
Priya Doe,2.0,3.0,6.0,1.0
Aarav Kumar,6.1,1.0,1.0,9.0
David Patel,4.5,1.0,0.0,6.0
Sarah Sharma,2.4,3.0,3.0,2.0
Neha Patel,3.2,2.0,5.0,9.0
Neha Doe,5.5,2.0,0.0,6.0
Jane Reddy,7.2,5.0,2.0,8.0
Rohan Williams,1.0,4.0,5.0,0.0
John Kumar,4.6,2.0,1.0,7.0
Sarah Reddy,2.0,0.0,2.0,4.0
John Doe,6.4,0.0,5.0,14.0
Priya Sharma,0.6,3.0,3.0,0.0
Aarav Kumar,5.5,4.0,5.0,7.0
Sarah Gupta,1.4,4.0,1.0,0.0
Jane Singh,4.8,2.0,6.0,10.0
Sarah Doe,6.7,0.0,6.0,12.0
Rohan Sharma,6.0,5.0,1.0,7.0
Michael Reddy,6.0,5.0,0.0,4.0
David Reddy,4.1,3.0,6.0,7.0
Priya Singh,7.1,0.0,3.0,13.0
David Patel,4.7,3.0,3.0,5.0
Neha Singh,7.3,4.0,4.0,10.0
Emily Smith,4.4,3.0,5.0,7.0
David Johnson,4.0,4.0,5.0,5.0
Neha Kumar,1.8,0.0,1.0,2.0
Michael Sharma,4.4,1.0,1.0,4.0
Aarav Gupta,1.1,1.0,5.0,4.0
Priya Patel,7.0,5.0,5.0,9.0
Rohan Williams,5.4,3.0,4.0,9.0
John Reddy,7.9,4.0,6.0,13.0
Sarah Williams,0.7,1.0,4.0,4.0
David Smith,1.9,5.0,1.0,1.0
Michael Patel,7.0,4.0,5.0,15.0
Priya Smith,3.2,1.0,2.0,6.0
David Reddy,3.7,4.0,0.0,1.0
Jane Johnson,6.9,1.0,2.0,11.0
Michael Sharma,4.2,1.0,5.0,10.0
Michael Smith,1.5,1.0,6.0,5.0
Aarav Gupta,7.1,5.0,2.0,5.0
Priya Reddy,0.2,5.0,1.0,0.0
Jane Doe,7.2,2.0,3.0,10.0
Neha Johnson,0.4,4.0,5.0,0.0
Michael Patel,5.3,3.0,4.0,8.0
Sarah Smith,0.6,4.0,3.0,0.0
Rohan Kumar,5.6,1.0,4.0,11.0
Emily Sharma,0.3,3.0,1.0,0.0
Michael Sharma,6.7,3.0,3.0,9.0
Aarav Smith,3.7,0.0,2.0,5.0
John Williams,0.7,2.0,5.0,2.0
Jane Sharma,5.7,3.0,1.0,5.0
Neha Gupta,3.9,1.0,4.0,7.0
Neha Johnson,1.5,5.0,2.0,0.0
Neha Johnson,0.1,0.0,3.0,2.0
Rohan Gupta,3.3,5.0,2.0,2.0
Neha Singh,0.7,1.0,2.0,2.0
Emily Patel,0.8,0.0,2.0,2.0
Rohan Patel,2.1,1.0,5.0,6.0
Neha Williams,5.0,4.0,2.0,6.0
Rohan Gupta,4.2,4.0,4.0,7.0
Neha Sharma,0.6,1.0,3.0,5.0
Aarav Singh,7.7,1.0,3.0,13.0
Priya Reddy,7.1,3.0,3.0,10.0
Michael Reddy,2.1,2.0,6.0,6.0
Neha Smith,1.0,4.0,2.0,0.0
Rohan Singh,7.5,0.0,1.0,12.0
Sarah Williams,3.7,3.0,5.0,6.0
Neha Doe,2.5,4.0,1.0,1.0
Aarav Williams,3.9,5.0,5.0,5.0
Priya Gupta,6.2,3.0,1.0,8.0
Aarav Gupta,1.3,1.0,4.0,1.0
David Patel,6.1,1.0,1.0,12.0
Aarav Smith,6.0,3.0,6.0,10.0
John Sharma,4.3,3.0,3.0,5.0
Michael Johnson,6.9,4.0,2.0,10.0
Sarah Doe,1.1,4.0,1.0,0.0
Neha Reddy,4.8,3.0,2.0,6.0
David Smith,3.6,2.0,4.0,6.0
David Johnson,3.4,2.0,2.0,7.0
David Sharma,2.0,1.0,1.0,3.0
David Patel,3.0,0.0,3.0,5.0
Neha Reddy,0.9,3.0,3.0,2.0
Jane Reddy,2.0,1.0,1.0,4.0
John Reddy,2.2,1.0,1.0,5.0
Neha Doe,5.8,1.0,4.0,11.0
David Singh,0.4,1.0,6.0,4.0
John Smith,5.2,0.0,1.0,8.0
Priya Reddy,1.8,3.0,5.0,4.0
Rohan Johnson,0.7,2.0,1.0,1.0
Michael Smith,2.4,3.0,2.0,3.0
Sarah Singh,1.8,3.0,3.0,0.0
Michael Kumar,4.4,5.0,2.0,3.0
David Smith,2.9,0.0,3.0,6.0
Aarav Smith,7.7,2.0,5.0,13.0
John Reddy,7.7,1.0,6.0,17.0
Sarah Kumar,3.5,2.0,1.0,5.0
Priya Williams,6.4,5.0,2.0,5.0
Neha Johnson,0.1,4.0,6.0,0.0
John Sharma,4.4,3.0,2.0,7.0
Sarah Gupta,5.9,2.0,4.0,8.0
Neha Reddy,1.7,3.0,2.0,2.0
Michael Williams,0.5,0.0,2.0,2.0
David Sharma,1.2,3.0,1.0,0.0
Neha Sharma,3.5,3.0,5.0,5.0
Jane Singh,4.1,2.0,5.0,3.0
Emily Doe,3.0,1.0,2.0,5.0
Michael Singh,3.5,4.0,5.0,3.0
Rohan Sharma,3.8,0.0,2.0,4.0
David Patel,6.2,0.0,1.0,10.0
John Patel,0.8,2.0,5.0,3.0
Michael Reddy,6.2,1.0,4.0,7.0
John Doe,5.5,4.0,2.0,8.0
Jane Sharma,5.9,3.0,2.0,6.0
Jane Kumar,5.9,4.0,6.0,10.0
Priya Williams,3.8,2.0,5.0,8.0
Jane Doe,1.7,4.0,5.0,2.0
Neha Smith,4.3,4.0,1.0,3.0
Jane Williams,7.7,2.0,5.0,12.0
David Singh,4.7,2.0,1.0,7.0
Sarah Singh,0.1,4.0,6.0,0.0
Rohan Gupta,0.5,0.0,0.0,0.0
Aarav Williams,7.9,2.0,2.0,10.0
Sarah Gupta,0.6,1.0,3.0,3.0
Jane Patel,0.4,0.0,5.0,3.0
Jane Reddy,2.8,1.0,5.0,7.0
Rohan Reddy,7.8,2.0,2.0,10.0
Aarav Gupta,2.5,3.0,3.0,2.0
Sarah Singh,3.3,1.0,5.0,5.0
Emily Reddy,5.1,4.0,0.0,4.0
Michael Reddy,0.2,2.0,5.0,1.0
David Williams,7.2,5.0,6.0,9.0
David Williams,4.2,5.0,0.0,5.0
Priya Williams,3.7,4.0,0.0,2.0
David Williams,6.9,5.0,2.0,8.0
Priya Gupta,7.6,4.0,1.0,8.0
Aarav Williams,3.4,4.0,3.0,2.0
Michael Patel,1.4,1.0,4.0,3.0
Neha Gupta,6.5,2.0,3.0,9.0
John Patel,3.2,4.0,1.0,3.0
Rohan Williams,7.5,2.0,4.0,12.0
David Doe,7.6,4.0,4.0,12.0
John Patel,0.9,4.0,6.0,0.0
Sarah Smith,7.7,1.0,1.0,11.0
Rohan Doe,2.9,4.0,4.0,3.0
Michael Smith,5.2,1.0,5.0,7.0
John Doe,0.3,2.0,3.0,0.0
Aarav Singh,7.1,3.0,2.0,10.0
Michael Smith,5.1,1.0,1.0,5.0
Emily Sharma,5.1,3.0,5.0,8.0
John Singh,7.2,3.0,2.0,7.0
Sarah Johnson,4.1,1.0,6.0,8.0
David Johnson,3.3,4.0,5.0,1.0
Neha Kumar,6.9,3.0,2.0,8.0
Rohan Sharma,5.9,2.0,3.0,9.0
Neha Kumar,7.6,1.0,0.0,11.0
