client_name,calorie_deficit,cardio_mins,sleep,weight_loss
Sarah Doe,360.0,97.0,6.9,2.04
Rohan Sharma,69.0,1.0,9.2,1.13
Emily Doe,763.0,111.0,7.6,3.37
Michael Williams,408.0,53.0,8.2,2.28
Jane Johnson,759.0,66.0,6.2,2.97
Emily Doe,904.0,31.0,8.4,3.2
Aarav Sharma,233.0,89.0,8.0,2.22
David Reddy,807.0,9.0,4.7,1.97
Sarah Singh,59.0,105.0,7.4,1.48
Michael Williams,899.0,99.0,5.5,3.18
Emily Sharma,651.0,26.0,8.8,2.71
David Reddy,874.0,97.0,6.6,3.74
Priya Doe,0.0,94.0,10.0,1.89
David Sharma,169.0,76.0,4.6,1.26
Rohan Williams,390.0,45.0,8.7,1.97
Aarav Williams,380.0,33.0,8.0,2.12
Michael Williams,227.0,28.0,8.6,1.47
Neha Reddy,382.0,38.0,5.8,1.85
Aarav Kumar,129.0,108.0,7.0,2.07
Michael Patel,413.0,9.0,8.8,1.94
John Williams,802.0,99.0,5.4,3.5
Michael Gupta,479.0,42.0,5.4,2.03
Jane Smith,18.0,63.0,7.3,1.42
Rohan Gupta,421.0,95.0,7.1,2.9
John Reddy,27.0,106.0,5.7,1.75
Neha Singh,966.0,41.0,5.8,2.77
Priya Reddy,127.0,55.0,5.7,1.51
Emily Sharma,708.0,50.0,8.6,2.87
Priya Smith,973.0,2.0,7.9,2.69
Sarah Patel,826.0,36.0,9.0,2.8
Jane Kumar,699.0,55.0,9.9,2.88
John Patel,839.0,49.0,6.8,2.75
Aarav Doe,982.0,87.0,4.4,3.22
David Williams,621.0,46.0,4.3,1.96
Neha Sharma,559.0,59.0,5.8,2.36
David Johnson,628.0,52.0,9.6,2.79
Priya Smith,533.0,89.0,7.1,2.74
Aarav Johnson,635.0,104.0,5.6,2.86
Priya Williams,450.0,64.0,6.4,2.14
David Singh,218.0,95.0,7.6,2.43
John Kumar,120.0,36.0,7.9,1.4
Neha Sharma,68.0,65.0,4.9,1.53
John Reddy,263.0,41.0,9.9,1.73
Neha Kumar,46.0,50.0,7.3,1.43
Michael Smith,567.0,88.0,4.8,2.35
Aarav Williams,284.0,106.0,9.4,2.45
David Singh,825.0,15.0,4.4,2.16
Aarav Gupta,74.0,76.0,9.4,1.76
John Gupta,226.0,70.0,10.0,2.06
Michael Smith,730.0,14.0,8.2,2.67
Rohan Sharma,599.0,25.0,8.6,2.32
Emily Reddy,64.0,37.0,6.0,1.15
Priya Johnson,877.0,20.0,9.6,2.83
Neha Johnson,877.0,29.0,7.2,2.94
Sarah Johnson,330.0,32.0,8.4,1.89
Sarah Williams,340.0,40.0,9.5,1.98
Rohan Smith,989.0,90.0,9.9,3.55
Rohan Williams,626.0,69.0,9.0,2.88
Michael Reddy,531.0,118.0,5.8,2.94
Sarah Singh,838.0,50.0,9.8,2.96
Michael Singh,285.0,90.0,7.8,2.19
David Kumar,429.0,105.0,9.6,2.97
Priya Doe,268.0,81.0,8.1,1.84
Rohan Doe,789.0,49.0,5.8,2.53
Jane Singh,573.0,90.0,6.2,2.75
John Doe,659.0,24.0,7.3,2.51
Sarah Singh,252.0,39.0,8.7,2.21
Aarav Gupta,220.0,66.0,5.9,2.08
John Doe,488.0,69.0,7.5,2.44
John Sharma,738.0,3.0,6.1,2.01
Priya Williams,525.0,113.0,8.9,3.26
Rohan Singh,33.0,84.0,6.8,1.47
Rohan Gupta,869.0,59.0,4.5,2.63
Aarav Patel,65.0,112.0,5.0,1.69
Emily Johnson,956.0,53.0,4.4,2.79
Neha Smith,25.0,118.0,7.0,2.01
Sarah Doe,694.0,61.0,4.6,2.35
Rohan Kumar,82.0,14.0,4.7,0.79
Sarah Doe,911.0,92.0,9.6,4.02
Rohan Doe,464.0,81.0,9.2,2.69
John Singh,138.0,93.0,6.7,2.18
Jane Smith,341.0,114.0,9.9,3.06
Michael Johnson,165.0,93.0,4.0,1.78
Priya Johnson,171.0,73.0,7.7,1.77
Sarah Johnson,948.0,103.0,7.7,3.9
Rohan Patel,445.0,81.0,6.7,2.32
Michael Smith,789.0,49.0,6.4,2.71
Aarav Kumar,640.0,106.0,6.7,3.08
Priya Doe,676.0,27.0,6.5,2.27
Jane Doe,132.0,86.0,8.4,1.82
Michael Johnson,234.0,106.0,4.8,1.7
Aarav Sharma,787.0,88.0,5.2,3.16
David Smith,971.0,84.0,5.1,3.4
David Gupta,263.0,90.0,5.6,1.64
Jane Williams,272.0,56.0,7.2,1.67
Michael Sharma,473.0,105.0,4.7,2.5
Emily Singh,984.0,24.0,9.2,3.22
Priya Gupta,269.0,15.0,5.8,0.97
Neha Johnson,407.0,34.0,5.0,1.64
Rohan Patel,891.0,64.0,8.1,3.33
Jane Gupta,3.0,61.0,4.2,0.97
Jane Reddy,40.0,98.0,7.7,1.89
Michael Kumar,604.0,49.0,8.2,2.42
Sarah Doe,907.0,58.0,5.3,3.11
David Williams,239.0,2.0,4.3,0.76
David Smith,470.0,49.0,6.2,1.82
Sarah Kumar,450.0,78.0,4.6,2.14
Priya Reddy,473.0,2.0,4.7,1.15
Michael Sharma,623.0,34.0,5.5,1.71
Emily Singh,470.0,25.0,5.8,1.98
Aarav Johnson,447.0,5.0,7.2,1.47
John Patel,474.0,58.0,8.1,2.06
Sarah Smith,591.0,22.0,7.6,1.99
Sarah Kumar,537.0,89.0,4.9,2.28
Neha Doe,854.0,102.0,5.0,3.2
Aarav Gupta,49.0,65.0,9.3,1.46
John Kumar,833.0,118.0,7.4,3.68
Emily Gupta,844.0,54.0,9.2,3.28
David Johnson,285.0,62.0,6.2,1.55
Jane Sharma,463.0,119.0,7.7,2.76
Neha Johnson,439.0,28.0,7.1,1.76
Priya Kumar,219.0,113.0,5.9,2.13
David Kumar,397.0,5.0,6.8,1.74
David Doe,44.0,54.0,7.0,1.55
Sarah Johnson,278.0,8.0,5.2,1.66
Priya Johnson,817.0,88.0,5.9,2.64
Michael Doe,285.0,73.0,8.7,1.99
Priya Reddy,818.0,85.0,9.5,3.8
Priya Sharma,532.0,45.0,6.2,1.77
Sarah Doe,880.0,44.0,5.8,3.15
Emily Sharma,575.0,5.0,5.2,1.75
Michael Smith,30.0,42.0,8.1,1.32
Neha Gupta,675.0,112.0,5.9,2.8
John Williams,45.0,46.0,9.9,1.45
John Gupta,451.0,100.0,6.0,2.84
Priya Doe,929.0,101.0,6.4,3.5
Priya Smith,165.0,45.0,7.6,1.45
Emily Gupta,390.0,76.0,8.8,2.5
John Gupta,730.0,11.0,6.8,2.22
Aarav Johnson,882.0,12.0,6.5,2.61
David Sharma,671.0,6.0,10.0,2.23
Sarah Patel,258.0,70.0,4.1,1.6
Emily Singh,675.0,51.0,9.4,2.67
Michael Williams,297.0,66.0,4.9,1.38
David Kumar,718.0,63.0,8.7,3.03
Rohan Williams,954.0,42.0,7.7,2.85
Sarah Sharma,721.0,81.0,6.1,2.83
Rohan Doe,863.0,91.0,9.2,3.75
Jane Doe,2.0,2.0,4.1,0.13
Rohan Doe,718.0,25.0,5.4,2.34
Aarav Johnson,830.0,86.0,7.4,3.2
Aarav Gupta,41.0,46.0,6.1,0.96
Neha Gupta,872.0,79.0,7.7,3.71
John Reddy,257.0,42.0,4.1,1.34
John Singh,665.0,47.0,4.7,2.16
Sarah Johnson,800.0,19.0,4.8,2.11
Neha Sharma,663.0,31.0,5.1,2.33
Emily Patel,92.0,73.0,6.8,1.46
Jane Patel,596.0,52.0,8.5,2.72
Neha Patel,550.0,93.0,9.4,2.97
Aarav Reddy,900.0,102.0,9.0,3.95
Aarav Williams,404.0,65.0,5.2,1.77
Emily Smith,321.0,91.0,6.6,2.04
Emily Williams,750.0,37.0,5.2,2.33
Priya Doe,413.0,50.0,5.6,1.84
Neha Patel,646.0,86.0,7.0,2.78
John Patel,646.0,46.0,4.4,2.72
Rohan Smith,888.0,71.0,5.3,3.43
Emily Kumar,599.0,22.0,9.6,2.44
Sarah Singh,502.0,72.0,6.8,2.49
Sarah Doe,139.0,103.0,6.7,1.93
Neha Patel,116.0,104.0,4.1,1.47
Aarav Kumar,154.0,87.0,5.5,1.69
David Singh,172.0,89.0,9.2,2.31
Rohan Patel,638.0,67.0,5.0,2.71
Neha Patel,741.0,70.0,6.5,3.03
Emily Kumar,530.0,16.0,4.1,1.33
Aarav Gupta,829.0,53.0,6.9,2.82
Michael Sharma,991.0,54.0,4.1,2.64
Jane Reddy,820.0,115.0,8.9,3.92
John Johnson,695.0,52.0,8.9,2.72
Michael Kumar,532.0,66.0,8.7,2.59
Aarav Williams,449.0,64.0,5.7,2.2
Emily Doe,84.0,76.0,9.0,2.39
John Smith,399.0,90.0,7.3,2.48
David Gupta,910.0,27.0,6.2,2.67
Neha Gupta,808.0,63.0,7.8,2.78
David Smith,216.0,99.0,4.1,2.12
Michael Gupta,467.0,56.0,4.9,1.94
Neha Patel,817.0,33.0,8.5,3.14
Rohan Kumar,67.0,79.0,5.5,1.69
Michael Gupta,387.0,99.0,7.6,2.43
Sarah Kumar,852.0,8.0,6.3,2.13
Jane Johnson,404.0,93.0,9.1,2.71
Rohan Smith,78.0,99.0,9.7,1.99
Jane Patel,543.0,55.0,9.3,2.58
David Reddy,862.0,118.0,5.6,3.68
David Reddy,590.0,94.0,5.2,2.31
Emily Sharma,226.0,93.0,6.8,2.12
Michael Doe,384.0,90.0,4.0,2.22
Priya Gupta,450.0,18.0,4.2,1.66
Aarav Gupta,579.0,26.0,7.3,1.88
Michael Doe,759.0,56.0,7.1,2.87
Neha Reddy,99.0,32.0,10.0,1.75
David Smith,890.0,50.0,5.2,2.87
Emily Johnson,12.0,107.0,5.5,1.62
Priya Reddy,370.0,99.0,4.7,2.43
John Gupta,27.0,76.0,9.5,1.62
David Smith,393.0,103.0,8.7,2.38
David Reddy,526.0,94.0,8.9,2.85
Emily Patel,512.0,51.0,9.4,2.59
Aarav Williams,166.0,24.0,7.1,1.5
Priya Doe,646.0,62.0,6.7,2.69
Aarav Doe,45.0,88.0,6.0,1.74
Aarav Smith,762.0,52.0,7.5,3.01
David Smith,947.0,80.0,6.7,3.3
Jane Williams,340.0,11.0,6.7,1.43
Emily Singh,517.0,90.0,9.6,3.15
Neha Reddy,379.0,98.0,9.9,2.48
Rohan Williams,7.0,85.0,8.8,1.83
Sarah Doe,386.0,116.0,8.5,2.64
Neha Williams,792.0,99.0,8.1,3.6
Rohan Smith,596.0,108.0,5.0,2.77
Priya Kumar,101.0,112.0,4.4,1.76
Emily Johnson,847.0,96.0,8.1,3.82
Emily Johnson,531.0,81.0,8.4,2.49
Rohan Johnson,842.0,1.0,4.3,2.16
Neha Gupta,580.0,56.0,9.6,2.64
Priya Doe,560.0,69.0,4.5,2.37
Jane Singh,105.0,36.0,5.7,1.53
Jane Patel,167.0,38.0,8.0,1.4
Emily Williams,972.0,115.0,5.0,3.36
Emily Williams,228.0,107.0,4.3,1.8
John Johnson,977.0,102.0,6.0,3.53
Sarah Doe,532.0,49.0,8.6,2.42
Emily Singh,136.0,2.0,6.5,0.96
David Kumar,99.0,10.0,7.9,1.45
Sarah Kumar,209.0,37.0,7.5,1.87
Rohan Patel,926.0,2.0,4.1,2.54
Priya Singh,414.0,2.0,9.9,2.34
Michael Singh,395.0,110.0,4.2,2.48
John Doe,313.0,85.0,9.8,2.68
Emily Doe,147.0,37.0,7.3,1.56
John Reddy,488.0,16.0,9.8,2.24
Michael Gupta,130.0,61.0,4.7,1.42
David Kumar,835.0,1.0,6.9,2.29
Sarah Kumar,370.0,113.0,5.0,2.12
John Reddy,375.0,50.0,4.3,1.65
Aarav Singh,474.0,48.0,7.7,2.31
Aarav Sharma,444.0,47.0,5.2,1.9
Sarah Gupta,995.0,8.0,7.5,2.61
Jane Sharma,545.0,77.0,4.7,2.29
Jane Patel,88.0,88.0,6.0,1.61
Priya Doe,607.0,81.0,8.7,2.88
Aarav Kumar,152.0,17.0,6.6,1.23
David Patel,31.0,69.0,7.8,1.67
Sarah Sharma,971.0,68.0,7.9,3.31
Neha Patel,774.0,104.0,9.1,3.69
Neha Doe,980.0,45.0,5.9,3.24
Jane Reddy,478.0,45.0,8.1,2.28
Rohan Williams,532.0,74.0,9.8,2.92
John Kumar,168.0,76.0,8.4,2.13
Sarah Reddy,247.0,56.0,6.9,1.53
John Doe,839.0,53.0,7.8,3.2
Priya Sharma,356.0,59.0,8.4,1.99
Aarav Kumar,827.0,103.0,7.7,3.32
Sarah Gupta,709.0,55.0,4.1,2.42
Jane Singh,177.0,113.0,5.2,1.57
Sarah Doe,507.0,60.0,8.9,2.54
Rohan Sharma,677.0,114.0,5.6,3.25
Michael Reddy,235.0,100.0,8.4,1.98
David Reddy,831.0,43.0,6.2,2.94
Priya Singh,545.0,104.0,7.1,2.7
David Patel,165.0,13.0,4.4,0.94
Neha Singh,583.0,111.0,5.1,2.67
Emily Smith,1000.0,76.0,9.7,3.85
David Johnson,151.0,7.0,9.3,1.51
Neha Kumar,817.0,77.0,7.9,3.33
Michael Sharma,207.0,117.0,6.8,2.26
Aarav Gupta,782.0,8.0,8.1,2.36
Priya Patel,735.0,67.0,7.7,2.89
Rohan Williams,300.0,90.0,7.4,2.37
John Reddy,326.0,97.0,4.4,2.2
Sarah Williams,793.0,50.0,7.8,2.97
David Smith,461.0,24.0,8.6,1.77
Michael Patel,731.0,5.0,10.0,2.5
Priya Smith,148.0,70.0,4.1,1.27
David Reddy,853.0,54.0,8.4,3.22
Jane Johnson,711.0,114.0,7.4,3.15
Michael Sharma,907.0,7.0,6.6,2.64
Michael Smith,132.0,82.0,4.8,1.51
Aarav Gupta,593.0,3.0,6.5,1.49
Priya Reddy,599.0,21.0,6.1,2.2
Jane Doe,353.0,54.0,5.8,1.83
Neha Johnson,458.0,55.0,8.4,2.56
Michael Patel,38.0,82.0,8.2,1.39
Sarah Smith,746.0,109.0,7.5,3.28
Rohan Kumar,549.0,77.0,9.6,2.79
Emily Sharma,58.0,114.0,6.1,1.92
Michael Sharma,681.0,106.0,5.5,2.7
Aarav Smith,467.0,70.0,7.9,2.54
John Williams,34.0,100.0,5.2,1.97
Jane Sharma,970.0,77.0,5.9,3.39
Neha Gupta,949.0,9.0,5.3,2.55
Neha Johnson,513.0,89.0,4.4,2.08
Neha Johnson,94.0,11.0,9.0,1.04
Rohan Gupta,755.0,71.0,5.5,2.76
Neha Singh,492.0,84.0,6.8,2.4
Emily Patel,302.0,8.0,4.3,1.32
Rohan Patel,491.0,28.0,8.2,2.19
Neha Williams,522.0,110.0,6.0,3.28
Rohan Gupta,563.0,74.0,8.5,2.52
Neha Sharma,441.0,30.0,6.5,1.83
Aarav Singh,606.0,83.0,5.2,2.28
Priya Reddy,919.0,72.0,7.1,2.82
Michael Reddy,362.0,60.0,4.8,1.95
Neha Smith,726.0,117.0,6.6,3.39
Rohan Singh,894.0,82.0,5.9,3.03
Sarah Williams,456.0,45.0,9.5,2.33
Neha Doe,443.0,96.0,4.4,2.16
Aarav Williams,602.0,106.0,8.2,2.98
Priya Gupta,591.0,15.0,5.1,1.78
Aarav Gupta,807.0,24.0,5.9,2.27
David Patel,476.0,26.0,6.5,1.72
Aarav Smith,996.0,83.0,9.4,3.63
John Sharma,59.0,72.0,5.5,1.47
Michael Johnson,3.0,74.0,4.5,0.65
Sarah Doe,640.0,113.0,5.9,2.96
Neha Reddy,298.0,93.0,4.6,1.77
David Smith,240.0,15.0,4.8,0.9
David Johnson,312.0,42.0,7.4,1.68
David Sharma,256.0,52.0,4.4,1.47
David Patel,31.0,48.0,4.2,0.91
Neha Reddy,972.0,80.0,8.3,3.36
Jane Reddy,221.0,107.0,6.2,2.27
John Reddy,734.0,37.0,4.8,2.13
Neha Doe,763.0,66.0,5.5,2.59
David Singh,929.0,95.0,7.9,3.65
John Smith,31.0,50.0,5.7,1.19
Priya Reddy,872.0,20.0,7.0,2.52
Rohan Johnson,527.0,57.0,4.7,1.51
Michael Smith,633.0,7.0,7.5,1.91
Sarah Singh,644.0,113.0,5.9,3.04
Michael Kumar,820.0,9.0,7.8,2.64
David Smith,333.0,53.0,8.9,2.06
Aarav Smith,733.0,64.0,7.7,2.77
John Reddy,529.0,118.0,5.8,3.28
Sarah Kumar,793.0,20.0,5.5,2.26
Priya Williams,991.0,14.0,6.0,2.84
Neha Johnson,201.0,1.0,5.0,0.64
John Sharma,995.0,19.0,5.1,2.47
Sarah Gupta,90.0,25.0,8.7,1.43
Neha Reddy,2.0,76.0,6.3,1.6
Michael Williams,44.0,26.0,6.6,0.94
David Sharma,342.0,2.0,7.6,1.09
Neha Sharma,633.0,99.0,7.5,2.98
Jane Singh,69.0,44.0,4.4,1.06
Emily Doe,6.0,42.0,9.0,1.35
Michael Singh,937.0,36.0,5.1,2.63
Rohan Sharma,822.0,117.0,8.3,3.62
David Patel,809.0,20.0,8.6,2.54
John Patel,884.0,108.0,8.3,3.45
Michael Reddy,700.0,93.0,7.5,3.23
John Doe,104.0,9.0,4.1,0.73
Jane Sharma,399.0,118.0,6.2,2.57
Jane Kumar,723.0,33.0,7.6,2.43
Priya Williams,280.0,12.0,6.3,1.28
Jane Doe,687.0,100.0,9.2,3.32
Neha Smith,24.0,85.0,5.9,1.83
Jane Williams,306.0,74.0,5.8,2.06
David Singh,549.0,19.0,5.6,1.71
Sarah Singh,632.0,57.0,6.0,2.31
Rohan Gupta,577.0,94.0,7.3,2.66
Aarav Williams,698.0,36.0,8.2,2.54
Sarah Gupta,6.0,37.0,8.0,1.02
Jane Patel,101.0,0.0,8.8,1.19
Jane Reddy,869.0,21.0,9.3,2.35
Rohan Reddy,682.0,105.0,8.9,3.41
Aarav Gupta,113.0,53.0,4.1,1.22
Sarah Singh,842.0,118.0,8.4,3.96
Emily Reddy,242.0,47.0,5.3,1.66
Michael Reddy,478.0,86.0,4.8,2.16
David Williams,145.0,34.0,7.8,1.56
David Williams,710.0,44.0,5.9,2.42
Priya Williams,667.0,23.0,4.3,1.61
David Williams,211.0,42.0,4.8,1.35
Priya Gupta,863.0,66.0,4.0,2.66
Aarav Williams,401.0,119.0,9.4,2.93
Michael Patel,293.0,80.0,4.1,2.13
Neha Gupta,152.0,24.0,5.3,1.11
John Patel,266.0,5.0,6.5,1.03
Rohan Williams,22.0,15.0,6.1,1.0
David Doe,583.0,68.0,9.5,2.86
John Patel,842.0,92.0,4.2,2.8
Sarah Smith,549.0,113.0,7.1,2.61
Rohan Doe,219.0,2.0,8.1,1.07
Michael Smith,34.0,63.0,9.6,1.82
John Doe,215.0,57.0,7.7,1.71
Aarav Singh,416.0,79.0,8.8,2.52
Michael Smith,760.0,67.0,4.5,2.37
Emily Sharma,188.0,82.0,6.3,2.0
John Singh,720.0,79.0,6.2,2.45
Sarah Johnson,867.0,14.0,9.3,2.67
David Johnson,454.0,96.0,4.9,2.44
Neha Kumar,821.0,15.0,4.9,2.06
Rohan Sharma,555.0,84.0,6.0,2.67
Neha Kumar,637.0,50.0,4.3,2.03
